#protonen mass nucleonen
1 1.007825 1
2 4.002603 4
3 7.016005 7
4 9.012182 9
5 11.009305 11
6 12.000000 12
7 14.003074 14
8 15.994915 16
9 18.998403 19
10 19.992440 20
11 22.989769 23
12 23.955042 24
13 26.981539 27
14 27.976927 28
15 30.973762 31
16 31.972071 32
17 34.968853 35
18 39.962383 40
19 38.963707 39
20 39.962591 40
21 44.955912 45
22 47.947946 48
23 50.943960 51
24 51.940508 52
25 54.938045 55
26 55.934938 56
27 58.933195 59
28 57.935343 58
29 62.929598 63
30 63.929142 64
31 68.925574 69
32 73.921178 74
33 74.921596 75
34 79.916521 80
35 78.918337 79
36 83.911507 84
37 84.911790 85
38 87.905612 88
39 88.905848 89
40 89.904704 90
41 92.906378 93
42 97.905408 98
43 97.907216 98
44 101.904349 102
45 102.905504 103
46 105.903486 106
47 106.905097 107
48 113.903359 114
49 114.903878 115
50 119.902195 120
51 120.903816 121
52 129.906224 130
53 126.904473 127
54 131.904154 132
55 132.905452 133
56 137.905247 138
57 138.906353 139
58 139.905439 140
59 140.907653 141
60 141.907723 142
61 144.912749 145
62 151.919732 152
63 152.921230 153
64 157.924104 158
65 158.925347 159
66 163.929175 164
67 164.930322 165
68 165.930293 166
69 168.934213 169
70 173.938862 174
71 174.940772 175
72 179.946550 180
73 180.947996 181
74 183.950931 184
75 186.955753 187
76 191.961481 192
77 192.962926 193
78 194.964791 195
79 196.966569 197
80 201.970643 202
81 204.974428 205
82 207.976652 208
83 208.980399 209
84 209.982874 210
85 218.008694 218
86 222.017578 222
87 223.019736 223
88 226.025410 226
89 227.027752 227
90 232.038055 232
91 231.035884 231
92 238.050788 238
93 237.048173 237
94 244.064204 244
95 243.061381 243
96 247.070354 247
97 247.070307 247
98 251.079587 251
99 252.082980 252
100 237.095105 237
101 258.098431 258
102 259.10103 259
103 265.10963 262
104 263.11255 263
105 262.11408 262
106 266.12210 266
107 264.12460 264
108 269.13406 269
109 268.13870 268
110 271.14606 271
111 272.15360 272
