Time [ns] - histogram	Counts - histogram
-23	0
-22.5	0
-22	0
-21.5	0
-21	0
-20.5	0
-20	0
-19.5	0
-19	0
-18.5	0
-18	0
-17.5	0
-17	0
-16.5	0
-16	0
-15.5	3
-15	2
-14.5	3
-14	6
-13.5	10
-13	12
-12.5	25
-12	31
-11.5	48
-11	41
-10.5	65
-10	92
-9.5	98
-9	118
-8.5	142
-8	116
-7.5	110
-7	119
-6.5	100
-6	88
-5.5	70
-5	51
-4.5	56
-4	30
-3.5	30
-3	16
-2.5	13
-2	4
-1.5	1
-1	5
-0.5	0
0	0
0.5	1
1	0
1.5	0
2	0
2.5	0
3	1
3.5	0
4	0
4.5	0
5	0
5.5	1
6	0
6.5	0
7	0
7.5	0
8	0
8.5	0
9	0
9.5	0
10	0
10.5	0
11	0
11.5	0
12	0
12.5	0
13	0
