Time [us] - histogram	Counts - histogram
0.005	0
0.015	0
0.025	2
0.035	2
0.045	4
0.055	1
0.065	0
0.075	2
0.085	3
0.095	1
0.105	3
0.115	2
0.125	1
0.135	5
0.145	3
0.155	0
0.165	0
0.175	0
0.185	5
0.195	4
0.205	3
0.215	2
0.225	5
0.235	0
0.245	1
0.255	1
0.265	3
0.275	4
0.285	1
0.295	1
0.305	0
0.315	2
0.325	6
0.335	1
0.345	2
0.355	0
0.365	3
0.375	3
0.385	5
0.395	3
0.405	2
0.415	1
0.425	2
0.435	1
0.445	1
0.455	3
0.465	1
0.475	1
0.485	3
0.495	1
0.505	0
0.515	0
0.525	0
0.535	2
0.545	1
0.555	3
0.565	0
0.575	4
0.585	2
0.595	0
0.605	2
0.615	4
0.625	0
0.635	0
0.645	0
0.655	1
0.665	1
0.675	2
0.685	3
0.695	1
0.705	2
0.715	1
0.725	0
0.735	2
0.745	1
0.755	1
0.765	3
0.775	1
0.785	2
0.795	3
0.805	1
0.815	3
0.825	1
0.835	2
0.845	2
0.855	0
0.865	3
0.875	1
0.885	1
0.895	2
0.905	0
0.915	1
0.925	1
0.935	2
0.945	3
0.955	1
0.965	0
0.975	3
0.985	2
0.995	2
1.005	2
1.015	0
1.025	0
1.035	1
1.045	2
1.055	3
1.065	2
1.075	4
1.085	2
1.095	1
1.105	2
1.115	2
1.125	1
1.135	1
1.145	3
1.155	2
1.165	2
1.175	2
1.185	1
1.195	0
1.205	0
1.215	1
1.225	4
1.235	1
1.245	1
1.255	3
1.265	2
1.275	2
1.285	0
1.295	3
1.305	1
1.315	0
1.325	1
1.335	0
1.345	2
1.355	1
1.365	0
1.375	2
1.385	1
1.395	1
1.405	0
1.415	2
1.425	0
1.435	0
1.445	0
1.455	1
1.465	2
1.475	1
1.485	2
1.495	2
1.505	1
1.515	1
1.525	2
1.535	1
1.545	2
1.555	2
1.565	2
1.575	1
1.585	4
1.595	0
1.605	2
1.615	1
1.625	0
1.635	0
1.645	0
1.655	1
1.665	0
1.675	1
1.685	1
1.695	0
1.705	3
1.715	0
1.725	1
1.735	0
1.745	3
1.755	1
1.765	1
1.775	0
1.785	3
1.795	0
1.805	0
1.815	0
1.825	2
1.835	0
1.845	1
1.855	0
1.865	0
1.875	0
1.885	2
1.895	0
1.905	0
1.915	3
1.925	1
1.935	0
1.945	1
1.955	0
1.965	2
1.975	2
1.985	0
1.995	2
2.005	4
2.015	0
2.025	0
2.035	2
2.045	1
2.055	2
2.065	0
2.075	1
2.085	0
2.095	0
2.105	1
2.115	1
2.125	2
2.135	1
2.145	1
2.155	1
2.165	1
2.175	0
2.185	1
2.195	0
2.205	2
2.215	1
2.225	1
2.235	2
2.245	0
2.255	0
2.265	3
2.275	0
2.285	3
2.295	1
2.305	0
2.315	0
2.325	0
2.335	0
2.345	0
2.355	0
2.365	0
2.375	1
2.385	1
2.395	0
2.405	1
2.415	0
2.425	1
2.435	0
2.445	0
2.455	1
2.465	0
2.475	2
2.485	1
2.495	0
2.505	2
2.515	0
2.525	1
2.535	1
2.545	0
2.555	0
